40 4222 14710
37 132     89.137459 391.938232
0 133     230.807022 397.592224
1 133     183.761917 391.325928
37 133     334.536560 403.259094
38 133     284.009552 400.753113
0 134     469.446930 404.831604
38 134     540.439636 403.064148
0 135     120.539314 476.244965
1 135     127.919418 469.820099
36 135     129.905838 507.651642
37 135     115.727783 492.058807
38 135     115.915413 483.719391
39 135     121.443031 499.905518
0 136     22.713531 534.043579
1 136     38.295097 526.647278
0 137     75.506233 545.759338
1 137     77.904335 535.246033
35 137     102.479271 590.789673
36 137     87.178925 581.480713
37 137     73.379486 561.504089
38 137     70.346382 554.309265
0 138     50.662552 549.741760
37 138     41.521492 569.691101
38 138     39.699402 559.201599
39 138     45.248829 580.242065
0 139     385.071838 556.115906
2 139     242.055222 555.162231
0 140     420.533752 567.563904
1 140     343.632721 566.749146
2 140     296.845551 570.727356
37 140     543.823242 551.459473
39 140     602.281067 542.730042
0 141     515.490112 568.107971
1 141     468.645782 569.480103
2 141     391.245117 572.263794
37 141     607.108337 555.753723
38 141     560.735107 563.653015
0 142     208.395691 886.499207
37 142     308.858429 884.203735
38 142     259.628082 891.589905
0 143     434.697083 871.643860
1 143     398.681702 876.723572
38 143     467.091309 863.283752
0 144     380.227203 280.436218
1 144     317.632904 276.732513
0 145     238.220383 402.776459
37 145     341.781982 407.947571
38 145     291.504303 405.849060
0 146     379.464691 178.349625
1 146     346.400055 178.027023
0 147     345.558105 184.167831
1 147     310.255676 182.456116
0 148     460.752350 185.339905
1 148     432.257263 188.320816
0 149     88.764656 522.453918
1 149     97.170647 514.746338
37 149     84.184479 539.041382
38 149     83.457771 530.811340
0 150     20.489473 523.769531
1 150     35.666706 517.050720
2 150     55.763016 509.331207
0 151     22.746239 526.477051
2 151     58.742825 513.421021
0 152     31.563803 535.484070
2 152     66.234833 521.494629
38 152     22.848400 545.548401
0 153     35.867397 538.607117
37 153     24.340479 558.166443
0 154     39.985764 541.055054
37 154     31.437222 562.094238
0 155     33.157707 542.581604
2 155     65.889359 526.737793
0 156     37.150623 544.977417
1 156     51.923969 537.652344
0 157     36.575199 838.602051
1 157     27.731663 826.599854
37 157     71.631554 862.445190
38 157     51.860714 850.559021
0 158     320.709015 886.038940
2 158     349.280670 188.493851
3 158     311.705109 187.698776
37 158     414.990479 879.155090
38 158     370.032043 883.405884
39 158     435.943665 861.788147
0 159     518.479187 218.753418
38 159     507.725983 190.072906
0 160     440.957458 409.524078
1 160     371.382721 409.805511
2 160     298.369873 407.251495
1 161     374.552094 340.906708
3 161     273.830261 338.644318
4 161     231.466827 319.468414
38 161     455.058685 356.795929
1 162     360.605713 240.708771
2 162     319.766815 240.717209
3 162     283.806549 239.880905
4 162     246.368317 236.478348
37 162     492.130951 237.140976
38 162     453.985931 238.805359
1 163     167.748550 567.566467
2 163     147.232803 576.489929
38 163     147.519974 583.009033
1 164     577.620850 336.328766
2 164     532.333984 333.838013
3 164     491.080872 333.413147
4 164     446.223602 347.196655
37 164     674.958923 333.470184
38 164     647.691772 341.993896
1 165     589.902466 508.417938
2 165     534.447571 523.381775
1 166     148.336990 702.599915
2 166     133.479431 692.217773
37 166     198.915878 722.581055
38 166     180.831741 716.052002
39 166     215.604889 727.464050
1 167     368.522247 753.473450
2 167     312.253845 758.315369
1 168     444.590698 179.499680
2 168     393.895355 174.327194
4 168     297.313171 168.439926
37 168     553.192627 178.891724
39 168     579.203369 172.777115
1 169     127.055603 831.939575
37 169     207.616638 862.572815
38 169     173.751038 854.176086
39 169     237.980927 867.408447
1 170     451.993164 337.737091
2 170     405.505981 338.026367
3 170     341.609833 336.314850
39 170     596.980774 321.955170
1 171     247.780670 186.186234
4 171     131.424469 199.664597
1 172     514.123657 454.175751
2 172     456.505371 448.379730
38 172     621.115295 437.254547
1 173     377.503723 333.442474
2 173     312.379059 330.986908
3 173     244.777695 326.498535
38 173     504.752167 330.524353
1 174     402.411804 651.082092
2 174     371.748108 642.800293
37 174     516.930115 625.678467
38 174     486.317749 632.482605
1 175     326.198120 880.115784
2 175     282.132782 878.866882
3 175     238.960861 874.749878
1 176     421.869476 408.038330
2 176     348.689270 406.459198
38 176     558.356384 401.060364
1 177     325.242950 700.064697
2 177     286.443787 706.546143
38 177     416.088257 691.811768
1 178     255.157181 921.041382
2 178     197.415649 917.127563
3 178     141.157822 909.831055
38 178     366.643738 920.479309
1 179     425.804718 920.721130
2 179     376.199768 926.212524
3 179     321.435944 927.850891
37 179     550.543274 891.877075
38 179     513.084839 903.293579
1 180     329.925964 938.304626
2 180     278.282684 943.648560
3 180     226.139694 944.323181
38 180     432.325104 929.557129
1 181     245.316803 857.658936
2 181     199.793076 856.715210
3 181     155.143753 850.910522
37 181     379.682312 845.625916
38 181     337.481903 850.958862
39 181     427.337616 840.103882
1 182     237.144394 256.595398
38 182     330.120667 259.983124
1 183     532.075134 611.147888
2 183     483.945496 617.758362
38 183     610.160889 589.788513
1 184     64.231949 673.088196
37 184     63.462311 668.560059
38 184     64.683846 667.542175
39 184     62.135536 668.406494
1 185     346.795898 267.741211
39 185     463.036682 266.254974
1 186     429.504272 462.173157
2 186     353.143585 461.734467
3 186     276.268616 458.607574
38 186     567.234863 451.439850
1 187     181.350601 858.083313
2 187     136.281219 849.690918
1 188     275.928467 821.017456
2 188     216.462860 818.383728
37 188     432.807709 815.489197
38 188     386.966949 818.033630
1 189     388.845642 200.467239
2 189     347.143524 201.068649
38 189     469.827606 199.304886
1 190     300.291748 207.685333
2 190     258.023773 204.791367
1 191     388.927307 480.196655
37 191     596.418945 471.825928
38 191     535.734985 477.603333
1 192     59.708900 524.793518
2 192     77.085472 516.643921
37 192     45.408073 555.310364
38 192     44.019989 544.782837
1 193     511.325897 655.132019
2 193     468.990479 661.183716
1 194     205.129944 240.517197
38 194     287.439545 230.510452
1 195     505.233307 270.272614
3 195     430.347870 257.227142
37 195     630.623169 253.537750
38 195     589.032715 260.649261
39 195     660.876099 242.339462
1 196     466.426514 615.978943
2 196     425.414612 617.155396
3 196     372.721313 619.738892
4 196     300.154144 627.395630
1 197     475.815308 644.648621
37 197     572.994385 615.011719
38 197     548.347351 624.525452
1 198     225.029510 770.737732
2 198     174.689209 765.096313
38 198     322.940308 771.222656
1 199     311.669739 177.527496
2 199     273.919373 172.292267
1 200     64.117813 507.048157
2 200     80.150604 500.968597
37 200     44.152626 536.437683
38 200     44.637680 525.953674
39 200     49.371925 546.987244
1 201     83.794052 549.476196
37 201     74.965790 573.197449
38 201     73.299759 564.807922
39 201     79.861855 584.382385
1 202     278.296295 670.694946
38 202     367.958099 667.597229
1 203     371.396301 418.595795
2 203     297.200531 415.502655
3 203     222.653015 410.257477
37 203     572.975037 408.269684
38 203     512.259888 414.194153
1 204     196.978500 301.133820
2 204     152.679245 294.347870
1 205     384.584137 886.197876
2 205     336.622467 887.744019
38 205     470.905548 874.356567
1 206     473.827423 416.536896
2 206     404.218994 418.342621
3 206     331.330994 417.154083
1 207     352.346954 418.054199
2 207     278.788361 414.526672
3 207     205.888474 407.543518
38 207     492.686218 414.107666
1 208     240.366211 693.944336
2 208     191.512482 692.379089
1 209     244.674927 802.150879
2 209     192.338303 796.398071
37 209     402.207489 800.877686
38 209     351.305725 804.197205
1 210     211.946213 815.543091
2 210     163.793381 808.611450
1 211     264.119476 691.607483
2 211     216.274643 687.071777
1 212     256.558289 214.806412
2 212     215.676849 211.926804
1 213     459.857361 220.522705
2 213     416.232544 222.762421
1 214     453.033112 265.690491
38 214     566.060852 258.434967
1 215     340.800598 406.748169
2 215     270.623260 400.777802
38 215     480.254883 403.314209
1 216     487.630402 413.532074
2 216     420.656158 416.584747
3 216     349.789185 417.463928
1 217     385.864502 428.542114
2 217     309.168793 426.553925
1 218     105.203018 516.137451
37 218     93.582565 539.673767
38 218     93.090851 531.683838
1 219     552.498535 628.368530
2 219     505.363464 634.825500
1 220     534.036743 581.683350
2 220     487.011993 590.894653
3 220     435.075226 596.494263
1 221     482.491974 338.579254
2 221     418.092377 340.571075
3 221     350.641357 339.957642
4 221     281.507660 336.636627
37 221     636.588562 317.420837
38 221     593.603394 326.166626
39 221     609.580933 320.201691
1 222     189.868118 820.076050
2 222     142.339157 816.725403
1 223     538.474731 633.397461
2 223     492.012695 641.808289
38 223     608.253296 608.409485
1 224     217.440277 797.887756
2 224     165.473785 790.803223
1 225     231.742996 816.158142
2 225     177.215729 810.001831
1 226     372.138062 898.886475
2 226     322.693481 901.993042
3 226     272.136444 900.587341
1 227     416.193970 886.128540
38 227     487.916992 869.911987
1 228     252.923691 227.369156
2 228     208.160660 222.296112
38 228     345.640076 232.469940
1 229     350.481842 244.558243
2 229     292.585449 242.736923
1 230     369.345459 251.882416
38 230     489.605042 250.830261
1 231     550.543640 392.233246
2 231     509.404388 399.035248
3 231     469.995697 405.651581
4 231     425.617706 409.557587
1 232     494.965149 401.912537
2 232     430.113861 405.130829
3 232     361.087921 405.117157
1 233     501.394012 423.700256
2 233     434.927643 426.835236
1 234     340.264160 429.415588
2 234     266.194794 424.952118
3 234     193.509033 418.238556
38 234     482.985077 427.426392
1 235     542.395508 400.020813
2 235     495.399994 409.051544
1 236     549.951111 382.970367
2 236     508.417145 386.277344
3 236     466.915527 392.019409
4 236     425.273346 398.079468
1 237     106.338997 511.607178
37 237     94.483719 534.166260
38 237     93.946754 526.401184
39 237     99.790512 542.200562
1 238     251.540634 874.450195
2 238     207.889221 870.613098
1 239     489.479919 261.003357
2 239     430.558258 260.835815
1 240     63.895271 955.725342
37 240     274.697998 983.047974
38 240     202.385696 977.463135
1 241     354.009277 281.796509
2 241     296.227448 278.864075
1 242     480.687897 217.561569
2 242     434.457855 208.241043
1 243     369.348907 327.475433
2 243     300.575897 324.380463
3 243     231.146652 319.513062
4 243     163.671951 311.553619
38 243     502.034180 324.300964
1 244     374.965424 335.512451
2 244     304.729706 332.851898
3 244     228.016891 327.787628
4 244     166.501022 319.818634
37 244     561.596863 326.864777
38 244     505.022125 331.803101
1 245     275.781647 500.573151
2 245     202.220062 493.821625
3 245     131.388550 484.162628
37 245     491.302002 500.950409
38 245     423.366241 503.616730
39 245     553.356079 495.394562
1 246     284.710541 506.556732
3 246     136.892044 487.567566
38 246     434.552460 510.891205
39 246     564.361389 501.558441
1 247     284.753937 525.135010
2 247     209.818344 518.642212
3 247     137.467636 509.201935
4 247     69.814682 498.000244
37 247     501.161285 522.932251
38 247     433.253540 526.342712
39 247     563.308044 517.029114
1 248     521.323975 581.001648
2 248     474.065155 588.649109
3 248     421.843140 593.086182
4 248     365.830139 594.990723
1 249     509.919739 603.508057
2 249     458.362915 610.654724
1 250     551.291504 604.524231
2 250     503.148712 612.078979
1 251     250.941315 894.788330
2 251     198.149750 890.222412
38 251     356.079163 894.631104
1 252     300.578003 899.436035
3 252     193.851440 892.084839
1 253     330.307739 280.916626
2 253     268.329803 275.460327
1 254     368.190155 342.396088
2 254     298.724030 339.853149
3 254     229.106018 334.591583
4 254     160.861282 326.683563
37 254     559.151428 334.562073
38 254     501.454254 339.665833
1 255     127.919418 469.820099
38 255     115.915413 483.719391
1 256     99.157410 532.048157
37 256     90.024979 557.614319
38 256     89.053207 548.996887
39 256     95.444130 566.470459
1 257     270.005219 505.027405
2 257     196.401047 498.348297
37 257     484.738586 506.075012
38 257     416.330750 509.184479
39 257     546.272644 501.537231
1 258     238.033432 726.355347
2 258     186.519318 720.727234
37 258     387.083862 724.752808
39 258     433.967987 721.045349
1 259     112.469902 504.563507
37 259     103.982727 527.559143
38 259     102.567513 519.537537
39 259     109.501030 535.656311
1 260     333.879700 562.929688
2 260     257.340668 559.371155
1 261     398.681702 876.723572
2 261     359.198853 878.872742
38 261     467.091309 863.283752
1 262     97.170647 514.746338
38 262     83.457771 530.811340
1 263     432.257263 188.320816
2 263     399.152893 189.284485
1 264     484.087219 344.640167
2 264     418.991608 348.527161
3 264     352.171417 347.294403
4 264     281.522552 344.901550
1 265     82.601913 352.826904
37 265     55.534115 372.889893
38 265     76.149399 373.461243
39 265     89.022644 393.887604
1 266     15.182611 484.516357
2 266     37.478836 476.531525
1 267     541.582153 493.401306
2 267     479.201416 499.796143
1 268     88.457382 523.923950
37 268     72.505745 551.200623
38 268     73.369995 541.728333
39 268     78.768486 559.732605
1 269     304.172607 550.612915
2 269     242.055222 555.162231
1 270     503.600403 554.426270
4 270     302.679413 546.537842
1 271     337.712158 569.720337
2 271     257.952972 565.445129
1 272     468.645782 569.480103
2 272     391.245117 572.263794
37 272     607.108337 555.753723
38 272     560.735107 563.653015
39 272     635.083313 547.773071
