40 4222 14710
38 57     1.113493e+02 5.097808e+02
39 57     1.100315e+02 5.029982e+02
1 58     9.750266e+01 5.240265e+02
2 58     1.052030e+02 5.161375e+02
38 58     9.358257e+01 5.396738e+02
39 58     9.309085e+01 5.316838e+02
40 58     9.920520e+01 5.479617e+02
1 59     8.202279e+01 5.527612e+02
2 59     8.379405e+01 5.494762e+02
37 59     9.179675e+01 5.902205e+02
38 59     7.496579e+01 5.731974e+02
39 59     7.329976e+01 5.648079e+02
40 59     7.986185e+01 5.843824e+02
1 60     2.372350e+02 8.226509e+02
2 60     1.898681e+02 8.200760e+02
3 60     1.423392e+02 8.167254e+02
39 60     2.863118e+02 8.218706e+02
1 61     2.054496e+02 8.494751e+02
3 61     1.159632e+02 8.209882e+02
38 61     2.932347e+02 8.594944e+02
39 61     2.496499e+02 8.620325e+02
1 62     2.561307e+02 9.062973e+02
3 62     1.481282e+02 9.037192e+02
1 63     2.951585e+02 7.183093e+02
38 63     3.950454e+02 7.144225e+02
39 63     3.473744e+02 7.161523e+02
40 63     4.396322e+02 7.098685e+02
1 64     2.702882e+02 8.031470e+02
2 64     2.174403e+02 7.978878e+02
38 64     3.754009e+02 8.032430e+02
39 64     3.242460e+02 8.042888e+02
40 64     4.237175e+02 7.995906e+02
1 65     2.916428e+02 2.058301e+02
39 65     3.344065e+02 2.071688e+02
1 66     2.186636e+02 8.297037e+02
2 66     1.758163e+02 8.239008e+02
1 67     4.171305e+02 8.949412e+02
2 67     3.721381e+02 8.988865e+02
3 67     3.226935e+02 9.019930e+02
39 67     4.590327e+02 8.863150e+02
1 68     2.976838e+02 2.311414e+02
2 68     2.529237e+02 2.273692e+02
3 68     2.081607e+02 2.222961e+02
38 68     3.905972e+02 2.333689e+02
39 68     3.456401e+02 2.324699e+02
40 68     4.335457e+02 2.328091e+02
1 69     5.109620e+02 2.636412e+02
2 69     4.530331e+02 2.656905e+02
39 69     5.660609e+02 2.584350e+02
1 70     2.460873e+02 2.863678e+02
2 70     1.993267e+02 2.803332e+02
1 71     5.401875e+02 3.339854e+02
2 71     4.824920e+02 3.385793e+02
3 71     4.180924e+02 3.405711e+02
4 71     3.506414e+02 3.399576e+02
36 71     6.838251e+02 2.991370e+02
38 71     6.365886e+02 3.174208e+02
39 71     5.936034e+02 3.261666e+02
1 72     4.109398e+02 4.068900e+02
2 72     3.408006e+02 4.067482e+02
3 72     2.706233e+02 4.007778e+02
38 72     5.409839e+02 3.999902e+02
39 72     4.802549e+02 4.033142e+02
1 73     5.368900e+02 4.114135e+02
2 73     4.738274e+02 4.165369e+02
1 74     4.587245e+02 4.273663e+02
2 74     3.858645e+02 4.285421e+02
3 74     3.091688e+02 4.265539e+02
1 75     2.179267e+02 4.798619e+02
36 75     4.675316e+02 4.795008e+02
37 75     4.236029e+02 4.848957e+02
38 75     3.218470e+02 4.869962e+02
40 75     3.738771e+02 4.870121e+02
1 76     5.753768e+02 5.706520e+02
2 76     5.348213e+02 5.775809e+02
3 76     4.773401e+02 5.762049e+02
39 76     6.193043e+02 5.605471e+02
1 77     2.974968e+02 8.053598e+02
2 77     2.446749e+02 8.021509e+02
37 77     4.912926e+02 7.874102e+02
38 77     4.022075e+02 8.008777e+02
39 77     3.513057e+02 8.041972e+02
40 77     4.490944e+02 7.958112e+02
1 78     4.119193e+02 4.306623e+02
2 78     3.402642e+02 4.294156e+02
3 78     2.661948e+02 4.249521e+02
38 78     5.465229e+02 4.231491e+02
39 78     4.829851e+02 4.274264e+02
1 79     1.270329e+02 4.825523e+02
36 79     1.504941e+02 5.193606e+02
37 79     1.373654e+02 5.117589e+02
38 79     1.238902e+02 4.966405e+02
39 79     1.231543e+02 4.894805e+02
40 79     1.285063e+02 5.042098e+02
1 80     9.865416e+01 5.192750e+02
2 80     1.063390e+02 5.116072e+02
38 80     9.448372e+01 5.341663e+02
39 80     9.394675e+01 5.264012e+02
40 80     9.979051e+01 5.422006e+02
1 81     5.899219e+02 6.176464e+02
2 81     5.524985e+02 6.283685e+02
3 81     5.053635e+02 6.348255e+02
1 82     5.767283e+02 6.223718e+02
2 82     5.384747e+02 6.333975e+02
38 82     6.301276e+02 5.939694e+02
39 82     6.082533e+02 6.084095e+02
1 83     2.761713e+02 7.925227e+02
38 83     3.849379e+02 7.942022e+02
39 83     3.307662e+02 7.932312e+02
40 83     4.310055e+02 7.885864e+02
1 84     2.865543e+02 8.198499e+02
2 84     2.317430e+02 8.161581e+02
38 84     3.941962e+02 8.160290e+02
39 84     3.419315e+02 8.181746e+02
1 85     2.956281e+02 8.758176e+02
2 85     2.515406e+02 8.744502e+02
3 85     2.078892e+02 8.706131e+02
39 85     3.418977e+02 8.766194e+02
1 86     4.544907e+02 8.790590e+02
2 86     4.161940e+02 8.861285e+02
3 86     3.591989e+02 8.788727e+02
38 86     5.162385e+02 8.602789e+02
39 86     4.879170e+02 8.699120e+02
1 87     4.309661e+02 8.829954e+02
2 87     3.845841e+02 8.861979e+02
3 87     3.366225e+02 8.877440e+02
38 87     5.046891e+02 8.644162e+02
39 87     4.709055e+02 8.743566e+02
1 88     2.013326e+02 8.853254e+02
39 88     2.466516e+02 8.895615e+02
1 89     4.465756e+02 6.709244e+02
38 89     5.192350e+02 6.610297e+02
1 90     4.072066e+02 1.745229e+02
2 90     3.782895e+02 1.763667e+02
1 91     3.686595e+02 1.771794e+02
38 91     4.018386e+02 1.818637e+02
39 91     4.028715e+02 1.762161e+02
40 91     4.573084e+02 1.710465e+02
1 92     4.360622e+02 2.456716e+02
2 92     3.784354e+02 2.447115e+02
1 93     4.289887e+02 2.526670e+02
2 93     3.693455e+02 2.518824e+02
38 93     5.417985e+02 2.469953e+02
39 93     4.896050e+02 2.508303e+02
1 94     3.778879e+02 2.713925e+02
2 94     3.138026e+02 2.681040e+02
39 94     4.426216e+02 2.704260e+02
1 95     4.403859e+02 3.355894e+02
2 95     3.749654e+02 3.355125e+02
3 95     3.047297e+02 3.328519e+02
38 95     5.615969e+02 3.268648e+02
39 95     5.050221e+02 3.318031e+02
1 96     6.413394e+01 3.779780e+02
39 96     6.047409e+01 3.866791e+02
1 97     1.067432e+02 5.022410e+02
38 97     1.022123e+02 5.183461e+02
39 97     1.018478e+02 5.102282e+02
40 97     1.073228e+02 5.264205e+02
1 98     3.842710e+02 2.639200e+02
39 98     4.483999e+02 2.631033e+02
1 99     5.416198e+02 2.569455e+02
39 99     5.899659e+02 2.502008e+02
1 100     5.915209e+02 5.939172e+02
2 100     5.512915e+02 6.045242e+02
3 100     5.031487e+02 6.120790e+02
39 100     6.248889e+02 5.799431e+02
1 101     5.528628e+02 3.959038e+02
2 101     4.949651e+02 4.019125e+02
3 101     4.301139e+02 4.051308e+02
39 101     6.056796e+02 3.861715e+02
1 102     2.801309e+02 2.291081e+02
39 102     3.245700e+02 2.311256e+02
1 103     5.832270e+02 5.843348e+02
4 103     4.394614e+02 6.079871e+02
39 103     6.167584e+02 5.705607e+02
1 104     3.042677e+02 8.967391e+02
2 104     2.509413e+02 8.947883e+02
3 104     1.981497e+02 8.902224e+02
39 104     3.560792e+02 8.946311e+02
1 105     2.594221e+02 2.822763e+02
39 105     3.134815e+02 2.836943e+02
1 106     4.002293e+02 2.829962e+02
2 106     3.303077e+02 2.809166e+02
3 106     2.683298e+02 2.754603e+02
1 107     3.507901e+02 2.869040e+02
39 107     4.165438e+02 2.875271e+02
1 108     5.607424e+02 4.184388e+02
2 108     5.013940e+02 4.237003e+02
39 108     6.152328e+02 4.102029e+02
1 109     1.323369e+02 4.719880e+02
36 109     1.509667e+02 5.081979e+02
37 109     1.384212e+02 5.000322e+02
38 109     1.248109e+02 4.841456e+02
39 109     1.257961e+02 4.774637e+02
40 109     1.293275e+02 4.919370e+02
1 110     3.490575e+02 5.044554e+02
2 110     2.757816e+02 5.005732e+02
3 110     2.022201e+02 4.938216e+02
4 110     1.313885e+02 4.841626e+02
36 110     6.532523e+02 4.754052e+02
37 110     6.079710e+02 4.867325e+02
38 110     4.913020e+02 5.009504e+02
39 110     4.233662e+02 5.036167e+02
40 110     5.533561e+02 4.953946e+02
1 111     3.582408e+02 5.106905e+02
2 111     2.847105e+02 5.065567e+02
4 111     1.368920e+02 4.875676e+02
36 111     6.620376e+02 4.808973e+02
39 111     4.345525e+02 5.108912e+02
40 111     5.643614e+02 5.015584e+02
1 112     1.061992e+02 5.117771e+02
2 112     1.124699e+02 5.045635e+02
36 112     1.331107e+02 5.515023e+02
37 112     1.191064e+02 5.436131e+02
38 112     1.039827e+02 5.275591e+02
39 112     1.025675e+02 5.195375e+02
40 112     1.095010e+02 5.356563e+02
1 113     3.582513e+02 5.278618e+02
2 113     2.847539e+02 5.251350e+02
3 113     2.098183e+02 5.186422e+02
4 113     1.374676e+02 5.092019e+02
37 113     6.172544e+02 5.077479e+02
38 113     5.011613e+02 5.229323e+02
39 113     4.332535e+02 5.263427e+02
40 113     5.633080e+02 5.170291e+02
1 114     9.336188e+01 5.302370e+02
36 114     1.167458e+02 5.741364e+02
37 114     1.027551e+02 5.653738e+02
38 114     8.791044e+01 5.480809e+02
39 114     8.779884e+01 5.392221e+02
40 114     9.271063e+01 5.566865e+02
1 115     9.317002e+01 5.403697e+02
2 115     9.915741e+01 5.320482e+02
36 115     1.199629e+02 5.838092e+02
37 115     1.056013e+02 5.752587e+02
38 115     9.002498e+01 5.576143e+02
39 115     8.905321e+01 5.489969e+02
40 115     9.544413e+01 5.664705e+02
1 116     5.628228e+02 5.796611e+02
2 116     5.213240e+02 5.810016e+02
3 116     4.740652e+02 5.886491e+02
4 116     4.218431e+02 5.930862e+02
1 117     1.932408e+02 8.901071e+02
4 117     4.464106e+01 4.494586e+02
1 118     1.304903e+02 9.684871e+02
2 118     6.389527e+01 9.557253e+02
36 118     4.787940e+02 9.743624e+02
37 118     4.150432e+02 9.812721e+02
38 118     2.746980e+02 9.830480e+02
39 118     2.023857e+02 9.774631e+02
40 118     3.451947e+02 9.839323e+02
1 119     2.901103e+02 3.159879e+02
2 119     2.313179e+02 3.105133e+02
37 119     5.175511e+02 3.130880e+02
1 120     3.494717e+02 5.254393e+02
4 120     1.302797e+02 5.057821e+02
36 120     6.536759e+02 4.956070e+02
37 120     6.086138e+02 5.068857e+02
38 120     4.916436e+02 5.218508e+02
39 120     4.232866e+02 5.248026e+02
40 120     5.531755e+02 5.155822e+02
1 121     3.716076e+02 5.491815e+02
38 121     5.014338e+02 5.337554e+02
39 121     4.337584e+02 5.375552e+02
1 122     3.970040e+02 5.640840e+02
2 122     3.377122e+02 5.697203e+02
1 123     1.154290e+02 5.091546e+02
36 123     1.428687e+02 5.480011e+02
38 123     1.139274e+02 5.250800e+02
39 123     1.126373e+02 5.171837e+02
40 123     1.197647e+02 5.332575e+02
1 124     2.881028e+02 7.284337e+02
2 124     2.380334e+02 7.263553e+02
3 124     1.865193e+02 7.207272e+02
38 124     3.870839e+02 7.247528e+02
40 124     4.339680e+02 7.210453e+02
1 125     3.461720e+02 9.029442e+02
39 125     3.983384e+02 8.992021e+02
1 126     4.632661e+02 1.905194e+02
2 126     4.344624e+02 1.952742e+02
39 126     4.895827e+02 1.835602e+02
1 127     5.408723e+02 3.413309e+02
2 127     4.840872e+02 3.446402e+02
3 127     4.189916e+02 3.485272e+02
4 127     3.521714e+02 3.472944e+02
1 128     4.345279e+02 3.428488e+02
2 128     3.681902e+02 3.423961e+02
3 128     2.987240e+02 3.398531e+02
4 128     2.291060e+02 3.345916e+02
38 128     5.591514e+02 3.345621e+02
39 128     5.014543e+02 3.396658e+02
40 128     6.098346e+02 3.271535e+02
1 129     4.484565e+02 4.034073e+02
38 129     5.817170e+02 3.970041e+02
1 130     3.521341e+02 8.989102e+02
2 130     3.005780e+02 8.994360e+02
39 130     4.023396e+02 8.945496e+02
1 131     3.427513e+02 5.095955e+02
2 131     2.700052e+02 5.050274e+02
3 131     1.964010e+02 4.983483e+02
38 131     4.847386e+02 5.060750e+02
39 131     4.163307e+02 5.091845e+02
40 131     5.462726e+02 5.015372e+02
1 132     9.800196e+01 3.840282e+02
38 132     8.913746e+01 3.919382e+02
1 133     2.308070e+02 3.975922e+02
2 133     1.837619e+02 3.913259e+02
38 133     3.345366e+02 4.032591e+02
39 133     2.840096e+02 4.007531e+02
1 134     4.694469e+02 4.048316e+02
39 134     5.404396e+02 4.030641e+02
1 135     1.205393e+02 4.762450e+02
2 135     1.279194e+02 4.698201e+02
37 135     1.299058e+02 5.076516e+02
38 135     1.157278e+02 4.920588e+02
39 135     1.159154e+02 4.837194e+02
40 135     1.214430e+02 4.999055e+02
1 136     2.271353e+01 5.340436e+02
2 136     3.829510e+01 5.266473e+02
1 137     7.550623e+01 5.457593e+02
2 137     7.790434e+01 5.352460e+02
36 137     1.024793e+02 5.907897e+02
37 137     8.717892e+01 5.814807e+02
38 137     7.337949e+01 5.615041e+02
39 137     7.034638e+01 5.543093e+02
1 138     5.066255e+01 5.497418e+02
38 138     4.152149e+01 5.696911e+02
39 138     3.969940e+01 5.592016e+02
40 138     4.524883e+01 5.802421e+02
1 139     3.850718e+02 5.561159e+02
3 139     2.420552e+02 5.551622e+02
1 140     4.205338e+02 5.675639e+02
2 140     3.436327e+02 5.667491e+02
3 140     2.968456e+02 5.707274e+02
38 140     5.438232e+02 5.514595e+02
40 140     6.022811e+02 5.427300e+02
1 141     5.154901e+02 5.681080e+02
2 141     4.686458e+02 5.694801e+02
3 141     3.912451e+02 5.722638e+02
38 141     6.071083e+02 5.557537e+02
39 141     5.607351e+02 5.636530e+02
1 142     2.083957e+02 8.864992e+02
38 142     3.088584e+02 8.842037e+02
39 142     2.596281e+02 8.915899e+02
1 143     4.346971e+02 8.716439e+02
2 143     3.986817e+02 8.767236e+02
39 143     4.670913e+02 8.632838e+02
1 144     3.802272e+02 2.804362e+02
2 144     3.176329e+02 2.767325e+02
1 145     2.382204e+02 4.027765e+02
38 145     3.417820e+02 4.079476e+02
39 145     2.915043e+02 4.058491e+02
1 146     3.794647e+02 1.783496e+02
2 146     3.464001e+02 1.780270e+02
1 147     3.455581e+02 1.841678e+02
2 147     3.102557e+02 1.824561e+02
1 148     4.607523e+02 1.853399e+02
2 148     4.322573e+02 1.883208e+02
1 149     8.876466e+01 5.224539e+02
2 149     9.717065e+01 5.147463e+02
38 149     8.418448e+01 5.390414e+02
39 149     8.345777e+01 5.308113e+02
1 150     2.048947e+01 5.237695e+02
2 150     3.566671e+01 5.170507e+02
3 150     5.576302e+01 5.093312e+02
1 151     2.274624e+01 5.264771e+02
3 151     5.874282e+01 5.134210e+02
1 152     3.156380e+01 5.354841e+02
3 152     6.623483e+01 5.214946e+02
39 152     2.284840e+01 5.455484e+02
